pclass,sex,age_group,embarked,fare,survived
2,female,adult,C,20.18,no
1,female,adult,C,74.51,yes
2,male,senior,S,17.73,no
1,male,adult,S,109.36,no
3,female,adult,C,22.37,no
3,male,senior,Q,29.46,no
3,male,adult,S,7.56,no
1,female,senior,Q,66.27,yes
3,female,adult,S,7.41,yes
2,male,child,S,50.59,no
2,male,adult,C,34.55,no
1,female,adult,Q,122.55,yes
3,male,adult,S,17.56,no
3,female,adult,C,34.09,yes
2,female,adult,S,67.42,yes
3,male,child,S,18.96,yes
3,female,child,C,26.03,yes
3,male,senior,S,26.49,no
2,female,adult,C,41.84,yes
2,female,adult,S,60.59,yes
3,male,adult,S,15.43,no
1,male,adult,C,116.91,no
3,male,adult,C,30.9,no
3,female,child,C,11.78,yes
2,male,adult,Q,35.05,yes
1,female,adult,S,194.47,yes
1,male,senior,S,180.02,no
2,male,senior,Q,55.88,yes
3,female,adult,Q,33.93,no
3,female,adult,C,30.42,yes
3,female,senior,C,13.81,yes
2,male,adult,Q,18.35,no
3,male,adult,S,22.87,no
3,male,adult,C,30.38,no
2,male,adult,C,18.13,yes
1,male,child,C,130.92,yes
3,male,adult,Q,23.31,no
3,male,adult,C,9.26,no
1,female,child,S,108.44,yes
3,female,adult,C,38.34,yes
3,male,adult,C,19.13,no
2,female,adult,Q,39.23,yes
3,male,child,C,14.29,yes
3,female,adult,Q,38.11,yes
3,male,adult,Q,29.09,no
1,male,adult,Q,73.4,no
3,female,adult,Q,29.83,no
3,female,adult,Q,12.21,yes
3,female,adult,Q,22.7,no
3,female,adult,S,22.33,no
2,male,adult,C,60.78,no
2,female,child,C,49.4,yes
1,male,adult,S,167.29,yes
3,female,adult,Q,39.47,yes
1,male,adult,C,60.17,no
1,male,child,Q,190.73,yes
2,male,child,S,23.54,no
3,male,adult,Q,27.51,yes
3,male,adult,S,36.85,no
3,male,child,S,28.9,no
2,female,adult,Q,35.71,yes
1,male,adult,Q,60.53,no
3,male,child,S,34.61,yes
3,female,adult,Q,21.77,no
3,male,adult,C,27.8,no
3,female,adult,Q,29.23,no
2,male,adult,Q,69.63,yes
1,male,adult,C,191.18,yes
1,male,adult,S,74.45,yes
3,male,adult,C,36.42,no
1,female,adult,Q,124.87,yes
1,female,adult,Q,194.26,yes
3,female,adult,Q,7.67,no
3,male,adult,C,37.75,no
2,male,adult,Q,38.53,no
2,male,adult,C,17.72,no
3,male,adult,C,10.98,no
2,female,adult,S,51.08,yes
2,female,adult,C,59.65,yes
2,male,adult,S,19.99,yes
2,female,adult,C,37.7,yes
2,female,child,Q,34.81,yes
3,male,child,C,20.11,yes
3,male,adult,Q,21.56,no
1,male,senior,S,196.87,yes
1,male,adult,S,172.16,yes
3,female,adult,S,15.63,yes
2,male,adult,C,31.52,yes
2,male,child,S,40.34,no
3,male,adult,C,27.74,yes
1,male,adult,C,101.16,yes
1,female,adult,S,123.42,yes
1,male,adult,C,96.93,yes
3,male,adult,C,6.97,no
3,female,child,S,7.1,yes
3,male,adult,C,11.49,no
3,female,adult,Q,20.49,yes
1,female,adult,C,149.78,yes
2,male,child,S,35.5,yes
2,male,child,Q,49.4,yes
3,male,child,C,16.87,yes
3,male,adult,S,15.41,no
3,male,senior,C,21.63,no
3,male,adult,Q,22.38,yes
3,female,adult,C,16.18,yes
3,female,adult,C,6.19,no
2,male,adult,C,19.62,no
3,male,adult,Q,13.22,no
3,male,adult,Q,18.05,no
1,female,adult,C,105.02,yes
2,female,adult,S,50.93,yes
3,male,adult,Q,9.17,no
3,male,senior,Q,26.11,no
3,female,adult,S,17.9,yes
1,female,adult,S,206.23,yes
2,male,child,C,45.14,yes
2,male,adult,C,36.88,no
3,male,child,S,19.58,no
3,female,adult,S,20.2,yes
1,female,adult,Q,133.74,yes
3,male,child,S,11.01,yes
1,female,child,Q,138.48,yes
1,male,senior,Q,110.32,yes
3,male,adult,S,19.16,no
3,female,adult,Q,17.57,yes
3,male,adult,S,28.38,no
2,male,adult,Q,31.95,no
2,male,adult,C,41.92,no
3,male,adult,Q,17.55,no
3,male,adult,C,30.67,no
3,female,adult,Q,5.9,yes
3,male,child,C,38.48,no
1,male,senior,C,193.29,yes
3,male,adult,Q,12.29,no
3,female,child,C,14.74,yes
2,male,adult,S,62.21,no
3,male,adult,Q,18.8,no
2,male,adult,Q,19.48,no
3,female,adult,Q,25.51,no
2,female,child,C,49.41,yes
1,male,adult,C,63.57,yes
2,female,adult,S,35.14,yes
1,male,adult,Q,75.33,no
2,female,child,S,64.1,yes
3,male,adult,C,23.6,no
2,female,adult,C,51.12,yes
3,male,adult,Q,15.83,no
1,male,adult,S,146.15,no
1,male,adult,C,101.83,no
3,male,adult,C,20.26,no
3,female,adult,C,10.94,no
3,female,adult,Q,26.04,yes
3,male,senior,S,29.42,no
3,male,adult,Q,25.49,no
1,female,child,S,208.63,yes
1,male,adult,S,70.85,no
1,male,adult,S,70.55,no
1,female,child,C,211.88,yes
3,male,adult,C,12.17,no
3,female,adult,Q,36.86,no
3,male,adult,S,20.28,no
2,male,adult,C,60.53,yes
3,male,adult,C,22.2,no
1,male,adult,S,101.69,yes
3,male,child,S,39.69,no
1,female,child,Q,202.69,yes
2,female,adult,S,35.86,yes
3,male,adult,S,16.43,yes
3,male,adult,C,14.0,no
2,male,adult,S,31.58,no
1,female,adult,Q,156.46,no
2,male,senior,C,20.59,no
3,male,adult,C,14.83,no
3,female,adult,Q,27.13,yes
1,male,adult,S,98.77,no
3,male,adult,S,29.5,no
3,male,adult,Q,36.32,no
2,male,adult,Q,16.08,no
3,male,adult,Q,22.14,no
1,male,adult,C,143.08,no
3,male,adult,Q,38.18,no
3,male,adult,C,27.31,no
2,female,child,Q,52.12,yes
2,male,senior,C,67.85,yes
3,female,adult,C,12.91,no
2,male,adult,Q,31.19,yes
3,female,adult,Q,39.4,no
3,male,adult,Q,21.78,no
3,male,adult,Q,33.98,no
3,female,adult,S,12.34,yes
2,male,adult,C,39.86,yes
2,male,adult,S,57.97,no
3,male,adult,S,34.37,no
1,female,adult,C,135.72,no
3,female,adult,S,34.43,yes
3,male,adult,Q,28.66,no
2,male,child,C,66.23,no
3,male,adult,C,9.44,yes
3,female,adult,S,20.23,yes
3,male,adult,Q,14.51,no
3,male,adult,Q,9.46,no
1,male,adult,S,201.7,yes
1,female,senior,S,182.56,yes
2,female,adult,S,52.45,yes
3,male,child,C,8.52,no
1,male,adult,Q,149.94,yes
2,male,adult,C,43.72,no
3,male,adult,C,25.72,no
3,male,adult,C,36.35,no
3,female,adult,C,21.53,yes
3,male,adult,C,29.32,yes
3,female,adult,Q,13.89,no
3,female,child,S,18.61,yes
3,male,adult,S,25.12,no
3,female,adult,Q,33.06,yes
3,male,adult,S,26.76,no
3,male,adult,S,26.04,no
3,male,adult,S,13.2,no
3,female,adult,C,36.06,yes
3,male,adult,S,32.9,no
3,male,adult,S,12.02,no
3,female,adult,S,37.41,no
1,male,adult,S,189.05,no
3,male,adult,Q,12.44,yes
3,female,adult,Q,10.22,yes
3,female,child,S,16.05,yes
2,male,child,C,62.63,no
2,male,adult,Q,60.04,yes
1,female,adult,C,64.4,yes
3,male,adult,S,29.72,yes
2,female,child,S,25.05,yes
2,male,adult,Q,18.26,yes
3,female,adult,S,6.95,yes
3,male,adult,Q,27.84,no
2,male,adult,Q,28.12,no
1,male,adult,C,85.11,no
2,male,adult,C,36.18,yes
3,female,adult,C,12.76,yes
3,male,adult,C,10.45,no
3,female,adult,Q,21.89,yes
3,male,adult,C,9.17,no
3,male,adult,C,15.13,no
1,male,adult,S,62.56,yes
1,male,adult,C,117.62,yes
1,male,adult,C,173.86,yes
3,male,adult,C,27.0,no
2,female,adult,S,54.69,no
2,male,adult,Q,37.52,yes
3,female,adult,Q,25.12,no
2,male,senior,C,54.3,no
2,male,adult,C,20.92,no
1,male,adult,C,214.79,yes
2,male,child,C,55.63,no
3,male,adult,Q,30.1,yes
1,male,adult,Q,77.61,no
2,female,adult,Q,24.04,no
2,male,adult,S,68.38,no
2,male,adult,S,65.2,no
1,male,senior,Q,99.89,yes
3,female,adult,S,19.73,yes
3,male,child,C,14.3,no
2,male,senior,S,21.69,yes
1,female,adult,C,79.26,yes
2,male,adult,C,43.14,no
3,female,adult,S,26.35,no
3,female,adult,Q,21.72,no
1,female,adult,S,121.31,yes
